"idx","category","file","title","venue_year","figure","article_url","image_url","license","why","use_for","asset_path","bytes","download_status"
"01","01_model_architecture_training","01_emu3_next_token_multimodal_model_Nature2025_Fig1.png","Multimodal learning with next-token prediction for large multimodal models","Nature 2025","Fig. 1","https://www.nature.com/articles/s41586-025-10041-x","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41586-025-10041-x/MediaObjects/41586_2025_10041_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","大模型统一框架图，适合借鉴“输入-表征-模型-任务输出”的架构层次。","深度学习框架图、模型输入输出关系、统一模型范式。","assets/engineering-reference-atlas/01_model_architecture_training/01_emu3_next_token_multimodal_model_Nature2025_Fig1.png","244730","downloaded"
"02","01_model_architecture_training","02_deepseek_r1_rl_reasoning_training_Nature2025_Fig1.png","DeepSeek-R1 incentivizes reasoning in LLMs through reinforcement learning","Nature 2025","Fig. 1","https://www.nature.com/articles/s41586-025-09422-z","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41586-025-09422-z/MediaObjects/41586_2025_9422_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","把训练阶段、强化学习信号和能力演化放在同一视觉叙事中，适合训练流程参考。","训练流程、RL 后训练、性能演化证据。","assets/engineering-reference-atlas/01_model_architecture_training/02_deepseek_r1_rl_reasoning_training_Nature2025_Fig1.png","141968","downloaded"
"03","01_model_architecture_training","03_rl_algorithm_discovery_Nature2025_Fig1.png","Discovering state-of-the-art reinforcement learning algorithms","Nature 2025","Fig. 1","https://www.nature.com/articles/s41586-025-09761-x","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41586-025-09761-x/MediaObjects/41586_2025_9761_Fig1_HTML.png","Open access; Creative Commons mentioned on article page; verify before redistribution","算法搜索/发现流程比普通结果图更有结构感，可参考其“搜索空间-候选-筛选-验证”叙事。","算法生成、AutoML/RL 算法发现、方法流程总览。","assets/engineering-reference-atlas/01_model_architecture_training/03_rl_algorithm_discovery_Nature2025_Fig1.png","234254","downloaded"
"04","02_simulation_surrogate_physics","04_myoelectric_digital_twin_NatCommun2023_Fig1.png","A myoelectric digital twin for fast and realistic modelling in deep learning","Nature Communications 2023","Fig. 1","https://www.nature.com/articles/s41467-023-37238-w","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-023-37238-w/MediaObjects/41467_2023_37238_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","典型“仿真生成数据-训练AI-真实测量应用”的数字孪生闭环，贴合建模仿真。","数字孪生、仿真数据生成、模型训练到真实系统迁移。","assets/engineering-reference-atlas/02_simulation_surrogate_physics/04_myoelectric_digital_twin_NatCommun2023_Fig1.png","249002","downloaded"
"05","02_simulation_surrogate_physics","05_deep_neural_operator_free_boundary_NMI2026_Fig1.png","Deep neural operator for free boundary problems","Nature Machine Intelligence 2026","Fig. 1","https://www.nature.com/articles/s42256-026-01233-9","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs42256-026-01233-9/MediaObjects/42256_2026_1233_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","神经算子+物理问题机制图，适合参考“数学对象-映射-预测域”的结构。","神经算子、PDE 代理模型、复杂域仿真。","assets/engineering-reference-atlas/02_simulation_surrogate_physics/05_deep_neural_operator_free_boundary_NMI2026_Fig1.png","390027","downloaded"
"06","02_simulation_surrogate_physics","06_deep_neural_operator_free_boundary_NMI2026_Fig2.png","Deep neural operator for free boundary problems","Nature Machine Intelligence 2026","Fig. 2","https://www.nature.com/articles/s42256-026-01233-9","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs42256-026-01233-9/MediaObjects/42256_2026_1233_Fig2_HTML.png","Open access; CC BY 4.0 found on article page","把仿真状态、预测对比和误差/证据放在多面板中，可参考“物理场+量化验证”的组合。","仿真结果可视化、预测-真实对照、误差证据。","assets/engineering-reference-atlas/02_simulation_surrogate_physics/06_deep_neural_operator_free_boundary_NMI2026_Fig2.png","554584","downloaded"
"07","03_control_reinforcement_learning","07_robot_lifelong_rl_NMI2025_Fig1.png","Preserving and combining knowledge in robotic lifelong reinforcement learning","Nature Machine Intelligence 2025","Fig. 1","https://www.nature.com/articles/s42256-025-00983-2","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs42256-025-00983-2/MediaObjects/42256_2025_983_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","机器人任务流+知识保留/组合机制，比单纯柱状图更能表达学习过程。","连续学习、机器人强化学习、任务流与知识迁移。","assets/engineering-reference-atlas/03_control_reinforcement_learning/07_robot_lifelong_rl_NMI2025_Fig1.png","632355","downloaded"
"08","03_control_reinforcement_learning","08_network_control_model_based_rl_NMI2024_Fig1.png","Efficient and scalable reinforcement learning for large-scale network control","Nature Machine Intelligence 2024","Fig. 1","https://www.nature.com/articles/s42256-024-00879-7","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs42256-024-00879-7/MediaObjects/42256_2024_879_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","网络系统控制的结构图很适合工科论文表达“局部观测-全局控制-可扩展机制”。","多智能体控制、网络系统、去中心化强化学习。","assets/engineering-reference-atlas/03_control_reinforcement_learning/08_network_control_model_based_rl_NMI2024_Fig1.png","507131","downloaded"
"09","03_control_reinforcement_learning","09_sindy_rl_interpretable_control_NatCommun2025_Fig1.png","SINDy-RL for interpretable and efficient model-based reinforcement learning","Nature Communications 2025","Fig. 1","https://www.nature.com/articles/s41467-025-65738-4","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-025-65738-4/MediaObjects/41467_2025_65738_Fig1_HTML.png","Open access; CC BY 4.0 found on article page","把动力学、奖励、策略三个可解释替代模型并列，适合表达“控制机理”。","可解释控制、模型预测/RL、动力学-奖励-策略分解。","assets/engineering-reference-atlas/03_control_reinforcement_learning/09_sindy_rl_interpretable_control_NatCommun2025_Fig1.png","339339","downloaded"
"10","03_control_reinforcement_learning","10_sindy_rl_control_tasks_NatCommun2025_Fig2.png","SINDy-RL for interpretable and efficient model-based reinforcement learning","Nature Communications 2025","Fig. 2","https://www.nature.com/articles/s41467-025-65738-4","https://media.springernature.com/lw1200/springer-static/image/art%3A10.1038%2Fs41467-025-65738-4/MediaObjects/41467_2025_65738_Fig2_HTML.png","Open access; CC BY 4.0 found on article page","控制任务可视化+算法表现组合，适合参考“任务示意+结果证据”的面板布局。","控制基准、仿真任务、状态轨迹与性能证据。","assets/engineering-reference-atlas/03_control_reinforcement_learning/10_sindy_rl_control_tasks_NatCommun2025_Fig2.png","363865","downloaded"
